date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:07	114/114	---M-Z	200	added ('OK')	text/plain	date:Sun,%2016%20Oct%202022%2009:40:20%20GMT	https://wanjerisolutions.com/robots.txt		(from )
12:39:08	472670/472670	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:20%20GMT	https://wanjerisolutions.com/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/index.html	(from )
12:39:08	59016/59016	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/css/dashicons.min.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/css/dashicons.min.css	(from https://wanjerisolutions.com/)
12:39:09	2659/2659	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2002:25:09%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/thickbox/thickbox.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/js/thickbox/thickbox.css	(from https://wanjerisolutions.com/)
12:39:09	870/870	---M-Z	200	added ('OK')	application/rss+xml	etag:%22209722ee3bb47c666665821fb10bb153%22	https://wanjerisolutions.com/comments/feed/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/comments/feed/index.html	(from https://wanjerisolutions.com/)
12:39:09	1304/1304	---M-Z	200	added ('OK')	application/rss+xml	etag:%22209722ee3bb47c666665821fb10bb153%22	https://wanjerisolutions.com/feed/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/feed/index.html	(from https://wanjerisolutions.com/)
12:39:09	88932/88932	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2012:10:37%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/css/dist/block-library/style.min.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/css/dist/block-library/style.min.css	(from https://wanjerisolutions.com/)
12:39:09	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://wanjerisolutions.com/)
12:39:09	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://wanjerisolutions.com/)
12:39:09	10435/10435	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2020:12:33%20GMT	https://c0.wp.com/p/woocommerce/7.0.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/p/woocommerce/7.0.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://wanjerisolutions.com/)
